tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,usertype,birthyear,gender
683,2/21/2015 15:53,2/21/2015 16:05,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1141,Subscriber,1974,2
408,2/21/2015 15:57,2/21/2015 16:04,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,670,Subscriber,1984,1
537,2/21/2015 16:05,2/21/2015 16:14,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,115,Porter Square Station,42.387995,-71.119084,888,Subscriber,1986,1
1121,2/21/2015 16:06,2/21/2015 16:24,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,800,Subscriber,1987,1
1086,2/21/2015 16:06,2/21/2015 16:24,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1091,Subscriber,1987,1
671,2/21/2015 16:08,2/21/2015 16:20,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,863,Subscriber,1993,1
140,2/21/2015 16:20,2/21/2015 16:23,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1006,Subscriber,1977,1
935,2/21/2015 16:21,2/21/2015 16:36,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,142,Alewife Station at Russell Field,42.396105,-71.139459,803,Subscriber,1944,1
616,2/21/2015 16:22,2/21/2015 16:33,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,107,Ames St at Main St,42.3625,-71.08822,1046,Subscriber,1991,1
2022,2/21/2015 16:23,2/21/2015 16:56,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,766,Subscriber,1988,1
542,2/21/2015 16:35,2/21/2015 16:44,107,Ames St at Main St,42.3625,-71.08822,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,890,Subscriber,1986,1
446,2/21/2015 16:38,2/21/2015 16:46,141,Kendall Street,42.36356016,-71.08216792,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,851,Subscriber,1976,1
892,2/21/2015 16:53,2/21/2015 17:08,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1023,Subscriber,1974,2
499,2/21/2015 17:02,2/21/2015 17:11,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1078,Customer,1962,2
566,2/21/2015 17:25,2/21/2015 17:34,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,642,Subscriber,1974,2
467,2/21/2015 17:35,2/21/2015 17:42,107,Ames St at Main St,42.3625,-71.08822,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,639,Subscriber,1988,1
1720,2/21/2015 17:35,2/21/2015 18:04,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1268,Subscriber,1985,1
792,2/21/2015 18:16,2/21/2015 18:30,143,EF - North Point Park,42.369885,-71.069957,107,Ames St at Main St,42.3625,-71.08822,1287,Subscriber,1986,2
944,2/21/2015 18:17,2/21/2015 18:32,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,736,Customer,1968,1
631,2/21/2015 18:28,2/21/2015 18:38,107,Ames St at Main St,42.3625,-71.08822,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,862,Subscriber,1984,1
345,2/21/2015 19:00,2/21/2015 19:05,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1006,Subscriber,1975,1
351,2/21/2015 19:14,2/21/2015 19:20,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1291,Subscriber,1988,1
455,2/21/2015 19:30,2/21/2015 19:38,107,Ames St at Main St,42.3625,-71.08822,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,966,Subscriber,1988,1
362,2/21/2015 19:42,2/21/2015 19:48,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1325,Subscriber,1994,1
319,2/21/2015 19:57,2/21/2015 20:02,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1325,Customer,1962,2
557,2/21/2015 20:11,2/21/2015 20:20,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,863,Subscriber,1993,1
850,2/21/2015 20:22,2/21/2015 20:36,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,682,Customer,1968,1
499,2/21/2015 21:24,2/21/2015 21:33,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1110,Subscriber,1989,1
405,2/21/2015 22:05,2/21/2015 22:11,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,659,Subscriber,1992,1
463,2/21/2015 22:27,2/21/2015 22:35,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,667,Subscriber,1984,1
234,2/22/2015 0:19,2/22/2015 0:23,107,Ames St at Main St,42.3625,-71.08822,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1287,Customer,1993,1
609,2/22/2015 1:00,2/22/2015 1:10,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,656,Subscriber,\N,0
1585,2/22/2015 1:01,2/22/2015 1:28,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,898,Subscriber,1964,1
465,2/22/2015 2:24,2/22/2015 2:31,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1291,Subscriber,1985,2
